time,token,volume_usdc,buy_place,token_amount,buy_slippage,sell_place,usdc_back,sell_slippage,profit_usd,profit_percent,backup_place,backup_usdc_back,backup_profit_percent
2026-04-28 23:33:17,AAVE,10000,KyberSwap,102.93120641804143,0.2759,Odos,9900.9726,0.1252,-99.1763,-0.9918,ParaSwap,9896.0349,-1.04
2026-04-28 23:33:27,UNI,10000,Odos,3022.589710146181,1.2585,KyberSwap,9622.9094,0.9921,-377.3031,-3.773,0x/Matcha,9619.9883,-3.8019
2026-04-28 23:33:42,LINK,10000,Odos,1076.8319594861705,0.2105,KyberSwap,9926.384,0.1297,-73.732,-0.7373,ParaSwap,9925.45,-0.7466
2026-04-28 23:34:03,WMATIC,10000,ParaSwap,108761.24975071198,0.0184,KyberSwap,9988.2273,0.0072,-11.8118,-0.1181,Odos,9987.1735,-0.129
2026-04-28 23:34:14,DAI,10000,KyberSwap,10000.634144140226,0.0004,Odos,9999.0758,0.0006,-0.9599,-0.0096,ParaSwap,9998.546,-0.0149
2026-04-28 23:34:51,LDO,10000,Odos,25222.567675833983,1.4981,KyberSwap,9606.4426,0.8436,-393.6823,-3.9368,0x/Matcha,9595.0658,-4.0504
2026-04-28 23:35:10,WETH,10000,KyberSwap,4.367378134631859,0.0044,Odos,9993.2641,0.0013,-6.757,-0.0676,ParaSwap,9993.2487,-0.0677
2026-04-28 23:35:21,WBTC,10000,KyberSwap,0.13132253,0.0116,ParaSwap,9991.5526,-0.0021,-8.4778,-0.0848,Odos,9990.7688,-0.0929
2026-04-28 23:35:32,AAVE,10000,KyberSwap,102.9387795315878,0.2591,Odos,9901.6242,0.1249,-98.5567,-0.9856,ParaSwap,9897.0386,-1.0299
2026-04-28 23:37:07,WETH,5000,KyberSwap,2.1837848782017732,0.0032,ParaSwap,4998.8289,-0.0157,-1.1813,-0.0236,Odos,4997.0842,-0.0589
2026-04-28 23:37:19,WBTC,5000,ParaSwap,0.06563885,0.0081,KyberSwap,4999.5809,0.0036,-0.4292,-0.0086,Odos,4995.6174,-0.0879
2026-04-28 23:37:29,AAVE,5000,KyberSwap,51.51436096587225,0.1514,Odos,4961.3959,0.075,-38.6955,-0.7739,ParaSwap,4959.935,-0.802
2026-04-28 23:37:40,UNI,5000,Odos,1521.3333199591816,0.5978,KyberSwap,4891.2065,0.4758,-108.9656,-2.1793,0x/Matcha,4886.5592,-2.2717
2026-04-28 23:37:50,LINK,5000,ParaSwap,539.0924256906371,0.1836,KyberSwap,4973.781,0.0422,-26.2587,-0.5252,Odos,4973.1206,-0.5399
2026-04-28 23:38:13,WMATIC,5000,KyberSwap,54383.647214184,0.0591,Odos,4992.6892,0.0154,-7.3687,-0.1474,ParaSwap,4991.7172,-0.1664
2026-04-28 23:38:22,DAI,5000,KyberSwap,5000.363117517181,0.0001,Odos,4999.5985,0.0005,-0.4231,-0.0085,ParaSwap,4999.4512,-0.0116
